D3,HR,TILT,FQ,OBS,RSRP
872.5835204,2.362068966,5.2,2600,0,-89
861.6292706,2.362068966,5.3,2600,0,-90
851.6718852,2.362068966,5.4,2600,0,-82
838.9195432,2.446428571,5.6,2600,0,-83
825.9812347,2.446428571,5.7,2600,0,-85
814.0399253,2.446428571,5.7,2600,0,-88
803.196738,2.490909091,5.9,2600,0,-85
790.2657781,2.490909091,6,2600,0,-82
775.4547053,2.537037037,6.2,2600,0,-85
761.6462433,2.58490566,6.4,2600,0,-87
747.7332412,2.58490566,6.5,2600,0,-87
731.9521842,2.634615385,6.7,2600,0,-91
718.0487449,2.634615385,6.9,2600,0,-91
703.4010236,2.74,7.2,2600,0,-90
